ContigID,Type,Superkingdom,Realm,Kingdom,Phylum,Class,Order,Family,Isolate
CENOTE_11_20_META39435_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_11_20_META39435
CENOTE_11_20_META39473_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META39473
CENOTE_11_20_META39491_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META39491
CENOTE_11_20_META39628_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_11_20_META39628
CENOTE_11_20_META39651_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META39651
CENOTE_11_20_META39666_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META39666
CENOTE_11_20_META39668_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_11_20_META39668
CENOTE_11_20_META9562_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 5,Unclassified family 5,Unclassified family 5,CENOTE_11_20_META9562
CENOTE_11_20_META9745_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_11_20_META9745
CENOTE_11_20_META9764_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 5,Unclassified family 5,Unclassified family 5,CENOTE_11_20_META9764
CENOTE_1_10_META12564_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,CENOTE_1_10_META12564
CENOTE_1_10_META12831_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_1_10_META12831
CENOTE_1_10_META12844_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 6,Unclassified family 6,Unclassified family 6,CENOTE_1_10_META12844
CENOTE_1_10_META13609_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_1_10_META13609
CENOTE_1_10_META13991_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_1_10_META13991
CENOTE_1_10_META14071_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_1_10_META14071
CENOTE_1_10_META14358_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_1_10_META14358
CENOTE_1_10_META1531_fullg,Genome,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_1_10_META1531
